MM  DD  YYYY  HH  MM  SS    C     F   RH(%)
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.98
08  06  2019  14  15  34  28.8  83.8  48.42
08  06  2019  14  15  35  28.8  83.8  48.13
08  06  2019  14  15  36  28.8  83.8  47.85
08  06  2019  14  15  37  28.8  83.8  47.78
08  06  2019  14  15  38  28.8  83.8  47.94
08  06  2019  14  15  39  28.8  83.8  47.97
08  06  2019  14  15  40  28.8  83.8  47.99
08  06  2019  14  15  41  28.8  83.8  47.86
08  06  2019  14  15  42  28.8  83.8  47.79
08  06  2019  14  15  43  28.8  83.8  47.8
08  06  2019  14  15  44  28.8  83.8  47.76
08  06  2019  14  15  45  28.8  83.8  47.65
08  06  2019  14  15  46  28.8  83.8  47.58
08  06  2019  14  15  47  28.8  83.8  47.5
08  06  2019  14  15  48  28.8  83.8  47.49
08  06  2019  14  15  49  28.8  83.8  47.56
08  06  2019  14  15  50  28.8  83.8  47.56
08  06  2019  14  15  50  28.8  83.8  47.56
08  06  2019  14  15  50  28.8  83.8  47.56
08  06  2019  14  15  50  28.8  83.8  47.56
08  06  2019  14  15  50  28.8  83.8  47.56
08  06  2019  14  15  50  28.8  83.8  47.56
08  06  2019  14  15  50  28.8  83.8  47.56
08  06  2019  14  15  50  28.8  83.8  47.56
08  06  2019  14  15  50  28.8  83.8  47.56
08  06  2019  14  15  50  28.8  83.8  47.56
08  06  2019  14  15  50  28.8  83.8  47.56
08  06  2019  14  15  50  28.8  83.8  47.56
08  06  2019  14  15  50  28.8  83.8  47.56
08  06  2019  14  15  50  28.8  83.8  47.56
08  06  2019  14  15  50  28.8  83.8  47.56
08  06  2019  14  15  50  28.8  83.8  47.58
08  06  2019  14  15  51  28.8  83.8  47.64
08  06  2019  14  15  52  28.8  83.8  47.71
08  06  2019  14  15  53  28.8  83.8  47.68
08  06  2019  14  15  54  28.8  83.8  47.69
08  06  2019  14  15  55  28.8  83.8  47.49
08  06  2019  14  15  56  28.8  83.8  47.56
08  06  2019  14  15  57  28.8  83.8  47.63
08  06  2019  14  15  58  28.8  83.8  47.67
08  06  2019  14  15  59  28.8  83.8  47.54
08  06  2019  14  16  00  28.8  83.8  47.77
08  06  2019  14  16  01  28.8  83.8  47.69
08  06  2019  14  16  02  28.8  83.8  47.64
08  06  2019  14  16  03  28.8  83.8  47.52
08  06  2019  14  16  04  28.8  83.8  47.33
08  06  2019  14  16  05  28.8  83.8  47.25
08  06  2019  14  16  06  28.8  83.8  47.25
08  06  2019  14  16  06  28.8  83.8  47.25
08  06  2019  14  16  06  28.8  83.8  47.25
08  06  2019  14  16  06  28.8  83.8  47.25
08  06  2019  14  16  06  28.8  83.8  47.25
08  06  2019  14  16  06  28.8  83.8  47.25
08  06  2019  14  16  06  28.8  83.8  47.25
08  06  2019  14  16  06  28.8  83.8  47.25
08  06  2019  14  16  06  28.8  83.8  47.25
08  06  2019  14  16  06  28.8  83.8  47.25
08  06  2019  14  16  06  28.8  83.8  47.25
